occupation,salary,level,vacation,happiness
HR Manager,115437,Senior,True,1
Mobile Developer,539588,Junior,True,2
AI Engineer,509179,Intermediate,False,1
QA Engineer,213828,Senior,True,1
BI Analyst,177643,Junior,True,2
AI Engineer,723290,Senior,False,1
BI Analyst,136784,Junior,False,1
BI Analyst,375075,Intermediate,True,2
Software Engineer,294136,Intermediate,False,1
AI Engineer,170322,Senior,False,1
BI Analyst,121211,Senior,False,2
HR Manager,243793,Senior,True,1
HR Manager,626366,Junior,False,2
Mobile Developer,128479,Senior,False,1
BI Analyst,698276,Junior,False,2
HR Manager,702754,Senior,False,1
BI Analyst,612893,Junior,False,2
Software Engineer,280458,Junior,False,1
AI Engineer,325094,Intermediate,False,2
QA Engineer,179594,Junior,True,2
BI Analyst,261145,Intermediate,False,2
Mobile Developer,655304,Senior,True,3
Mobile Developer,428935,Intermediate,True,1
Mobile Developer,346408,Intermediate,True,1
BI Analyst,740607,Junior,False,1
Mobile Developer,483448,Senior,False,1
Software Engineer,330213,Junior,False,1
AI Engineer,247385,Senior,True,2
Mobile Developer,618100,Senior,True,4
BI Analyst,226124,Junior,True,1
AI Engineer,700989,Junior,True,2
AI Engineer,432456,Junior,True,2
BI Analyst,705166,Intermediate,False,1
BI Analyst,453032,Junior,False,2
BI Analyst,415862,Intermediate,False,2
Mobile Developer,366514,Senior,True,1
QA Engineer,558319,Junior,True,1
AI Engineer,325777,Senior,False,2
Software Engineer,679349,Junior,False,2
AI Engineer,355945,Intermediate,False,2
Software Engineer,516241,Junior,True,1
Software Engineer,461935,Intermediate,False,1
Mobile Developer,515122,Intermediate,False,2
Software Engineer,597604,Senior,False,2
HR Manager,653664,Intermediate,True,3
Mobile Developer,134864,Junior,True,2
AI Engineer,555566,Intermediate,True,4
BI Analyst,593415,Senior,False,2
AI Engineer,189246,Senior,False,1
AI Engineer,492800,Junior,True,1
Mobile Developer,630591,Intermediate,True,3
Software Engineer,406235,Senior,True,1
Software Engineer,425902,Intermediate,True,1
QA Engineer,358048,Intermediate,True,2
HR Manager,665492,Senior,False,2
QA Engineer,311184,Senior,False,1
QA Engineer,157354,Intermediate,False,1
AI Engineer,572542,Junior,False,2
Software Engineer,720982,Senior,True,5
Mobile Developer,675437,Intermediate,False,1
BI Analyst,138176,Junior,False,2
BI Analyst,341117,Junior,False,2
HR Manager,522503,Senior,False,1
Software Engineer,381288,Intermediate,False,1
Software Engineer,695123,Intermediate,False,2
Software Engineer,539435,Senior,True,5
QA Engineer,682658,Intermediate,False,2
HR Manager,640200,Intermediate,False,1
Software Engineer,154218,Senior,True,1
Mobile Developer,399825,Junior,True,1
Mobile Developer,366768,Junior,False,1
QA Engineer,123631,Intermediate,True,2
HR Manager,235652,Intermediate,False,2
HR Manager,710727,Intermediate,False,2
Software Engineer,240045,Intermediate,False,1
QA Engineer,348402,Intermediate,False,2
QA Engineer,598724,Junior,True,1
QA Engineer,632459,Senior,True,4
BI Analyst,426658,Intermediate,False,1
BI Analyst,719321,Intermediate,False,2
Mobile Developer,534997,Senior,False,2
BI Analyst,208229,Senior,False,1
Mobile Developer,681957,Junior,False,1
HR Manager,176595,Senior,False,2
BI Analyst,117812,Junior,True,1
Software Engineer,689687,Senior,True,5
QA Engineer,190697,Intermediate,True,1
AI Engineer,195594,Junior,True,2
Software Engineer,355103,Senior,False,1
QA Engineer,591714,Senior,False,2
Software Engineer,583876,Senior,True,3
BI Analyst,221104,Senior,True,1
QA Engineer,434177,Junior,True,1
BI Analyst,682892,Junior,True,2
Mobile Developer,718044,Intermediate,False,1
BI Analyst,659746,Intermediate,True,5
Software Engineer,535582,Senior,True,4
Mobile Developer,380691,Intermediate,False,2
QA Engineer,466899,Junior,False,2
Mobile Developer,563486,Senior,False,2
AI Engineer,285377,Intermediate,True,2
QA Engineer,284338,Junior,True,1
QA Engineer,310757,Intermediate,True,1
QA Engineer,306204,Junior,True,2
Software Engineer,189837,Senior,True,1
Software Engineer,637182,Junior,False,1
Mobile Developer,294715,Senior,True,1
BI Analyst,419905,Senior,False,2
AI Engineer,739783,Senior,False,2
BI Analyst,721193,Senior,False,1
QA Engineer,592719,Senior,True,5
BI Analyst,386071,Junior,True,1
BI Analyst,530268,Junior,True,2
AI Engineer,614159,Intermediate,True,5
BI Analyst,146113,Junior,True,2
HR Manager,704350,Senior,False,2
AI Engineer,316191,Senior,True,2
Mobile Developer,433717,Intermediate,False,2
Software Engineer,184019,Senior,True,2
BI Analyst,621834,Intermediate,True,4
BI Analyst,314100,Junior,True,2
AI Engineer,370985,Senior,True,1
BI Analyst,434784,Junior,True,1
QA Engineer,121218,Junior,True,1
Software Engineer,390571,Junior,False,2
Mobile Developer,457043,Junior,True,2
BI Analyst,385452,Senior,True,1
BI Analyst,303080,Junior,True,1
HR Manager,729715,Intermediate,False,2
AI Engineer,293135,Senior,True,2
HR Manager,264284,Senior,False,2
HR Manager,713613,Senior,False,1
QA Engineer,437773,Senior,True,1
BI Analyst,435758,Senior,True,1
QA Engineer,341954,Intermediate,False,1
Software Engineer,370979,Junior,True,2
QA Engineer,238479,Junior,False,1
HR Manager,645351,Intermediate,False,1
HR Manager,296656,Senior,True,2
HR Manager,407336,Senior,False,1
HR Manager,381116,Senior,True,2
BI Analyst,337328,Junior,False,1
QA Engineer,714017,Junior,True,1
HR Manager,601461,Senior,True,4
Mobile Developer,725070,Junior,True,2
Mobile Developer,488103,Junior,True,1
AI Engineer,545979,Junior,False,2
QA Engineer,134379,Senior,True,2
QA Engineer,578368,Intermediate,True,4
Mobile Developer,476661,Senior,False,1
AI Engineer,549928,Junior,False,2
AI Engineer,164114,Intermediate,False,2
QA Engineer,390501,Junior,True,2
Mobile Developer,269992,Intermediate,True,2
HR Manager,336563,Senior,False,2
HR Manager,103867,Intermediate,True,1
HR Manager,659110,Intermediate,True,4
BI Analyst,728737,Intermediate,False,2
QA Engineer,740607,Senior,True,5
AI Engineer,642813,Junior,False,2
Mobile Developer,432482,Junior,False,2
AI Engineer,715484,Senior,True,5
Mobile Developer,175900,Intermediate,False,2
HR Manager,609785,Senior,True,4
BI Analyst,625666,Senior,False,2
Mobile Developer,210342,Senior,True,2
Mobile Developer,230469,Junior,False,2
Mobile Developer,358563,Junior,True,1
QA Engineer,559658,Junior,False,1
AI Engineer,107417,Intermediate,True,2
AI Engineer,237886,Intermediate,True,1
BI Analyst,135656,Senior,True,1
AI Engineer,741495,Senior,False,1
Mobile Developer,385739,Intermediate,False,1
AI Engineer,206855,Intermediate,True,2
Software Engineer,366442,Junior,False,1
AI Engineer,478952,Intermediate,True,4
AI Engineer,231835,Junior,True,2
QA Engineer,336584,Junior,False,2
QA Engineer,108790,Junior,False,2
BI Analyst,402614,Senior,True,2
BI Analyst,434192,Intermediate,False,2
AI Engineer,715604,Junior,False,1
BI Analyst,581750,Senior,False,2
HR Manager,232548,Senior,True,1
Mobile Developer,272802,Senior,True,2
AI Engineer,742042,Senior,False,1
Software Engineer,745147,Senior,False,2
Software Engineer,332930,Senior,True,2
QA Engineer,698108,Intermediate,True,5
HR Manager,327654,Junior,False,2
HR Manager,610845,Senior,False,1
BI Analyst,300838,Senior,False,1
Software Engineer,566054,Senior,True,4
Software Engineer,715632,Senior,False,1
Software Engineer,710973,Senior,False,1
Software Engineer,554789,Senior,True,4
AI Engineer,644873,Senior,False,1
AI Engineer,687999,Junior,True,1
Software Engineer,354190,Senior,False,2
Software Engineer,374249,Senior,False,2
Software Engineer,262844,Senior,False,1
HR Manager,185463,Senior,True,1
HR Manager,432897,Senior,False,1
Software Engineer,621464,Junior,True,2
QA Engineer,749910,Intermediate,False,1
Software Engineer,605383,Senior,False,1
BI Analyst,431866,Intermediate,True,2
BI Analyst,644478,Intermediate,True,3
HR Manager,109642,Intermediate,True,2
Software Engineer,474581,Junior,True,2
Software Engineer,116154,Senior,True,1
BI Analyst,422841,Senior,True,1
AI Engineer,408248,Senior,False,2
AI Engineer,599564,Senior,True,3
HR Manager,102655,Senior,True,2
BI Analyst,493713,Senior,False,2
QA Engineer,160943,Senior,False,1
HR Manager,299467,Intermediate,True,2
BI Analyst,305099,Junior,True,1
BI Analyst,410940,Intermediate,False,1
Mobile Developer,674920,Senior,False,2
Software Engineer,252687,Junior,True,1
AI Engineer,202014,Intermediate,False,1
QA Engineer,240887,Intermediate,False,1
QA Engineer,583813,Intermediate,True,3
QA Engineer,199251,Junior,True,2
Software Engineer,163818,Junior,False,2
Software Engineer,488811,Senior,False,1
HR Manager,228556,Intermediate,False,1
Mobile Developer,747344,Senior,True,3
BI Analyst,714190,Intermediate,False,2
Software Engineer,595184,Intermediate,True,5
BI Analyst,676764,Intermediate,True,4
Mobile Developer,419628,Intermediate,False,1
BI Analyst,371262,Intermediate,False,2
Software Engineer,721835,Senior,False,2
Software Engineer,443407,Intermediate,True,1
Software Engineer,469331,Intermediate,True,5
Mobile Developer,145361,Intermediate,True,1
BI Analyst,466633,Intermediate,False,1
Software Engineer,722099,Senior,False,1
AI Engineer,195021,Intermediate,False,2
HR Manager,449739,Intermediate,True,1
BI Analyst,348809,Intermediate,False,1
HR Manager,536791,Senior,False,2
HR Manager,185748,Senior,False,2
BI Analyst,286833,Intermediate,False,1
HR Manager,681097,Junior,True,1
Software Engineer,697813,Junior,False,2
HR Manager,632265,Senior,False,1
Software Engineer,600835,Intermediate,True,4
AI Engineer,747090,Senior,True,5
HR Manager,420660,Junior,True,1
Software Engineer,269858,Intermediate,True,1
BI Analyst,493508,Senior,False,2
QA Engineer,288680,Junior,True,2
HR Manager,349391,Senior,False,2
Mobile Developer,640484,Intermediate,False,2
Software Engineer,453454,Intermediate,False,1
BI Analyst,216615,Intermediate,False,2
QA Engineer,724281,Senior,True,4
BI Analyst,340979,Intermediate,False,1
Software Engineer,696732,Junior,True,1
Mobile Developer,107503,Senior,True,2
Mobile Developer,179186,Intermediate,False,2
AI Engineer,271466,Intermediate,True,2
Mobile Developer,748888,Junior,False,1
Software Engineer,178274,Senior,True,1
AI Engineer,531870,Senior,False,2
AI Engineer,243156,Junior,False,2
QA Engineer,668221,Senior,True,3
Software Engineer,438539,Senior,False,2
AI Engineer,359461,Junior,False,2
AI Engineer,420864,Senior,False,2
HR Manager,505785,Junior,False,2
HR Manager,686885,Junior,True,2
QA Engineer,372123,Junior,True,1
QA Engineer,160074,Junior,False,2
Mobile Developer,560295,Intermediate,False,2
BI Analyst,234181,Junior,True,1
BI Analyst,133618,Junior,True,1
Software Engineer,525447,Senior,True,3
BI Analyst,428577,Intermediate,False,2
AI Engineer,290223,Junior,True,1
AI Engineer,708527,Senior,False,2
QA Engineer,116635,Senior,True,2
Software Engineer,389336,Junior,False,1
Mobile Developer,123954,Intermediate,True,1
BI Analyst,637510,Junior,False,1
BI Analyst,306393,Junior,False,2
Software Engineer,648838,Senior,True,5
Software Engineer,274252,Senior,True,1
QA Engineer,119892,Senior,True,1
Software Engineer,683402,Senior,False,1
Software Engineer,417976,Senior,False,1
Mobile Developer,588273,Senior,True,4
Mobile Developer,218014,Intermediate,True,1
BI Analyst,509421,Senior,True,5
HR Manager,339352,Intermediate,True,1
AI Engineer,661997,Junior,True,2
BI Analyst,292261,Junior,True,1
AI Engineer,195476,Senior,True,2
